route_id,trip_id,actual_arrival_delay_min,delay_risk,recommended_action,weather_condition,traffic_congestion_index
Route_16,T00488,4,Low,No operational action required,Cloudy,29
Route_10,T00489,1,Low,No operational action required,Clear,33
Route_10,T00490,2,Low,No operational action required,Fog,51
Route_12,T00491,19,High,Adjust service headway,Snow,80
Route_9,T00492,26,Severe,Deploy standby bus,Cloudy,21
Route_1,T00493,10,Medium,Monitor route conditions,Clear,4
Route_5,T00494,19,High,Adjust service headway,Clear,10
Route_20,T00495,7,Medium,Monitor route conditions,Snow,85
Route_8,T00496,27,Severe,Deploy standby bus,Cloudy,31
Route_11,T00497,2,Low,No operational action required,Cloudy,23
Route_12,T00498,7,Medium,Monitor route conditions,Rain,10
Route_1,T00499,9,Medium,Monitor route conditions,Fog,10
Route_20,T00500,8,Medium,Monitor route conditions,Storm,16
Route_11,T00501,-2,Low,No operational action required,Rain,31
Route_5,T00502,13,Medium,Monitor route conditions,Clear,82
Route_15,T00503,24,High,Adjust service headway,Fog,26
Route_5,T00504,24,High,Adjust service headway,Fog,31
Route_12,T00505,18,High,Adjust service headway,Cloudy,60
Route_5,T00506,3,Low,No operational action required,Fog,24
Route_17,T00507,11,Medium,Monitor route conditions,Snow,63
Route_17,T00508,28,Severe,Deploy standby bus,Fog,63
Route_12,T00509,7,Medium,Monitor route conditions,Clear,27
Route_15,T00510,20,High,Adjust service headway,Snow,39
Route_15,T00511,-1,Low,No operational action required,Snow,90
Route_6,T00512,26,Severe,Deploy standby bus,Rain,13
Route_12,T00513,2,Low,No operational action required,Fog,41
Route_20,T00514,-2,Low,No operational action required,Cloudy,38
Route_18,T00515,10,Medium,Monitor route conditions,Rain,1
Route_14,T00516,14,Medium,Monitor route conditions,Cloudy,80
Route_2,T00517,27,Severe,Deploy standby bus,Fog,0
Route_9,T00518,9,Medium,Monitor route conditions,Rain,31
Route_5,T00519,22,High,Adjust service headway,Fog,82
Route_20,T00520,8,Medium,Monitor route conditions,Clear,63
Route_1,T00521,14,Medium,Monitor route conditions,Rain,77
Route_3,T00522,5,Low,No operational action required,Cloudy,30
Route_6,T00523,17,High,Adjust service headway,Clear,57
Route_5,T00524,20,High,Adjust service headway,Storm,81
Route_5,T00525,4,Low,No operational action required,Cloudy,77
Route_1,T00526,29,Severe,Deploy standby bus,Fog,13
Route_17,T00527,19,High,Adjust service headway,Cloudy,87
Route_19,T00528,9,Medium,Monitor route conditions,Storm,68
Route_14,T00529,10,Medium,Monitor route conditions,Cloudy,15
Route_12,T00530,10,Medium,Monitor route conditions,Clear,68
Route_10,T00531,12,Medium,Monitor route conditions,Snow,53
Route_20,T00532,22,High,Adjust service headway,Cloudy,12
Route_18,T00533,22,High,Adjust service headway,Rain,79
Route_11,T00534,-3,Low,No operational action required,Storm,78
Route_2,T00535,28,Severe,Deploy standby bus,Cloudy,30
Route_18,T00536,11,Medium,Monitor route conditions,Storm,68
Route_7,T00537,17,High,Adjust service headway,Snow,20
Route_15,T00538,14,Medium,Monitor route conditions,Clear,29
Route_11,T00539,26,Severe,Deploy standby bus,Rain,22
Route_18,T00540,9,Medium,Monitor route conditions,Fog,37
Route_12,T00541,20,High,Adjust service headway,Cloudy,28
Route_6,T00542,26,Severe,Deploy standby bus,Clear,76
Route_20,T00543,-2,Low,No operational action required,Storm,31
Route_13,T00544,15,Medium,Monitor route conditions,Snow,61
Route_20,T00545,21,High,Adjust service headway,Storm,90
Route_16,T00546,10,Medium,Monitor route conditions,Snow,97
Route_18,T00547,2,Low,No operational action required,Snow,44
Route_10,T00548,8,Medium,Monitor route conditions,Clear,48
Route_8,T00549,16,High,Adjust service headway,Cloudy,32
Route_18,T00550,19,High,Adjust service headway,Fog,3
Route_1,T00551,26,Severe,Deploy standby bus,Cloudy,17
Route_8,T00552,26,Severe,Deploy standby bus,Rain,69
Route_6,T00553,26,Severe,Deploy standby bus,Cloudy,63
Route_5,T00554,26,Severe,Deploy standby bus,Snow,27
Route_15,T00555,12,Medium,Monitor route conditions,Snow,57
Route_15,T00556,20,High,Adjust service headway,Rain,90
Route_2,T00557,10,Medium,Monitor route conditions,Storm,89
Route_1,T00558,22,High,Adjust service headway,Snow,55
Route_11,T00559,4,Low,No operational action required,Rain,19
Route_10,T00560,10,Medium,Monitor route conditions,Snow,76
Route_18,T00561,27,Severe,Deploy standby bus,Fog,91
Route_18,T00562,-2,Low,No operational action required,Snow,33
Route_17,T00563,0,Low,No operational action required,Clear,86
Route_8,T00564,-3,Low,No operational action required,Rain,9
Route_15,T00565,16,High,Adjust service headway,Cloudy,93
Route_8,T00566,10,Medium,Monitor route conditions,Rain,21
Route_17,T00567,21,High,Adjust service headway,Storm,4
Route_12,T00568,21,High,Adjust service headway,Snow,43
Route_8,T00569,-1,Low,No operational action required,Rain,8
Route_14,T00570,1,Low,No operational action required,Fog,42
Route_4,T00571,22,High,Adjust service headway,Rain,3
Route_1,T00572,0,Low,No operational action required,Fog,41
Route_1,T00573,3,Low,No operational action required,Snow,64
Route_19,T00574,26,Severe,Deploy standby bus,Cloudy,97
Route_16,T00575,26,Severe,Deploy standby bus,Snow,40
Route_14,T00576,15,Medium,Monitor route conditions,Storm,63
Route_16,T00577,29,Severe,Deploy standby bus,Clear,54
Route_5,T00578,29,Severe,Deploy standby bus,Cloudy,89
Route_9,T00579,10,Medium,Monitor route conditions,Cloudy,17
Route_2,T00580,6,Medium,Monitor route conditions,Clear,15
Route_18,T00581,24,High,Adjust service headway,Rain,86
Route_6,T00582,10,Medium,Monitor route conditions,Snow,45
Route_9,T00583,12,Medium,Monitor route conditions,Rain,35
Route_1,T00584,17,High,Adjust service headway,Rain,89
Route_9,T00585,24,High,Adjust service headway,Snow,65
Route_16,T00586,29,Severe,Deploy standby bus,Storm,43
Route_13,T00587,2,Low,No operational action required,Cloudy,4
Route_9,T00588,11,Medium,Monitor route conditions,Fog,28
Route_13,T00589,-1,Low,No operational action required,Clear,3
Route_9,T00590,10,Medium,Monitor route conditions,Cloudy,98
Route_11,T00591,-2,Low,No operational action required,Rain,85
Route_4,T00592,25,High,Adjust service headway,Clear,48
Route_2,T00593,0,Low,No operational action required,Fog,71
Route_6,T00594,22,High,Adjust service headway,Cloudy,84
Route_14,T00595,8,Medium,Monitor route conditions,Cloudy,7
Route_4,T00596,-2,Low,No operational action required,Storm,51
Route_6,T00597,13,Medium,Monitor route conditions,Cloudy,68
Route_19,T00598,6,Medium,Monitor route conditions,Cloudy,20
Route_6,T00599,18,High,Adjust service headway,Fog,26
Route_2,T00600,17,High,Adjust service headway,Fog,37
Route_18,T00601,11,Medium,Monitor route conditions,Clear,4
Route_13,T00602,17,High,Adjust service headway,Rain,84
Route_9,T00603,17,High,Adjust service headway,Fog,60
Route_19,T00604,17,High,Adjust service headway,Clear,7
Route_13,T00605,28,Severe,Deploy standby bus,Cloudy,85
Route_11,T00606,1,Low,No operational action required,Clear,17
Route_1,T00607,5,Low,No operational action required,Clear,3
Route_7,T00608,14,Medium,Monitor route conditions,Clear,3
Route_15,T00609,17,High,Adjust service headway,Snow,36
Route_1,T00610,4,Low,No operational action required,Clear,14
Route_12,T00611,6,Medium,Monitor route conditions,Fog,37
Route_7,T00612,20,High,Adjust service headway,Snow,26
Route_15,T00613,20,High,Adjust service headway,Rain,84
Route_19,T00614,28,Severe,Deploy standby bus,Clear,47
Route_1,T00615,29,Severe,Deploy standby bus,Storm,45
Route_17,T00616,7,Medium,Monitor route conditions,Cloudy,45
Route_17,T00617,27,Severe,Deploy standby bus,Cloudy,47
Route_3,T00618,14,Medium,Monitor route conditions,Snow,58
Route_12,T00619,19,High,Adjust service headway,Cloudy,3
Route_6,T00620,18,High,Adjust service headway,Cloudy,74
Route_11,T00621,14,Medium,Monitor route conditions,Snow,18
Route_3,T00622,16,High,Adjust service headway,Cloudy,56
Route_8,T00623,9,Medium,Monitor route conditions,Clear,18
Route_14,T00624,-3,Low,No operational action required,Rain,90
Route_14,T00625,0,Low,No operational action required,Snow,41
Route_10,T00626,20,High,Adjust service headway,Storm,91
Route_2,T00627,-2,Low,No operational action required,Snow,4
Route_14,T00628,24,High,Adjust service headway,Fog,47
Route_9,T00629,22,High,Adjust service headway,Storm,24
Route_3,T00630,19,High,Adjust service headway,Fog,66
Route_8,T00631,11,Medium,Monitor route conditions,Snow,25
Route_16,T00632,23,High,Adjust service headway,Fog,73
Route_2,T00633,2,Low,No operational action required,Storm,87
Route_6,T00634,6,Medium,Monitor route conditions,Clear,61
Route_12,T00635,26,Severe,Deploy standby bus,Snow,92
Route_5,T00636,25,High,Adjust service headway,Snow,6
Route_2,T00637,0,Low,No operational action required,Cloudy,43
Route_16,T00638,1,Low,No operational action required,Snow,86
Route_5,T00639,0,Low,No operational action required,Snow,26
Route_15,T00640,12,Medium,Monitor route conditions,Clear,41
Route_12,T00641,21,High,Adjust service headway,Cloudy,72
Route_4,T00642,10,Medium,Monitor route conditions,Rain,55
Route_15,T00643,7,Medium,Monitor route conditions,Fog,2
Route_11,T00644,25,High,Adjust service headway,Storm,12
Route_16,T00645,18,High,Adjust service headway,Rain,69
Route_6,T00646,10,Medium,Monitor route conditions,Cloudy,58
Route_14,T00647,20,High,Adjust service headway,Clear,37
Route_18,T00648,22,High,Adjust service headway,Storm,84
Route_12,T00649,12,Medium,Monitor route conditions,Fog,82
Route_11,T00650,28,Severe,Deploy standby bus,Snow,88
Route_13,T00651,2,Low,No operational action required,Snow,67
Route_11,T00652,4,Low,No operational action required,Rain,85
Route_16,T00653,26,Severe,Deploy standby bus,Fog,68
Route_15,T00654,23,High,Adjust service headway,Cloudy,0
Route_15,T00655,3,Low,No operational action required,Fog,49
Route_4,T00656,23,High,Adjust service headway,Clear,80
Route_11,T00657,21,High,Adjust service headway,Rain,72
Route_19,T00658,11,Medium,Monitor route conditions,Rain,8
Route_15,T00659,21,High,Adjust service headway,Clear,52
Route_4,T00660,18,High,Adjust service headway,Fog,87
Route_13,T00661,14,Medium,Monitor route conditions,Clear,9
Route_19,T00662,8,Medium,Monitor route conditions,Storm,83
Route_2,T00663,19,High,Adjust service headway,Clear,80
Route_14,T00664,21,High,Adjust service headway,Fog,76
Route_4,T00665,6,Medium,Monitor route conditions,Clear,28
Route_16,T00666,26,Severe,Deploy standby bus,Cloudy,35
Route_20,T00667,6,Medium,Monitor route conditions,Snow,86
Route_14,T00668,9,Medium,Monitor route conditions,Clear,26
Route_15,T00669,25,High,Adjust service headway,Snow,17
Route_3,T00670,5,Low,No operational action required,Clear,17
Route_8,T00671,9,Medium,Monitor route conditions,Fog,8
Route_16,T00672,10,Medium,Monitor route conditions,Storm,66
Route_10,T00673,5,Low,No operational action required,Storm,6
Route_4,T00674,4,Low,No operational action required,Snow,57
Route_18,T00675,-1,Low,No operational action required,Fog,78
Route_2,T00676,29,Severe,Deploy standby bus,Fog,29
Route_17,T00677,28,Severe,Deploy standby bus,Fog,72
Route_13,T00678,3,Low,No operational action required,Cloudy,60
Route_4,T00679,15,Medium,Monitor route conditions,Rain,90
Route_11,T00680,10,Medium,Monitor route conditions,Clear,99
Route_7,T00681,15,Medium,Monitor route conditions,Fog,81
Route_12,T00682,22,High,Adjust service headway,Fog,94
Route_10,T00683,13,Medium,Monitor route conditions,Fog,16
Route_7,T00684,24,High,Adjust service headway,Storm,52
Route_13,T00685,15,Medium,Monitor route conditions,Fog,5
Route_7,T00686,23,High,Adjust service headway,Clear,38
Route_17,T00687,15,Medium,Monitor route conditions,Fog,24
Route_10,T00688,29,Severe,Deploy standby bus,Clear,41
Route_10,T00689,3,Low,No operational action required,Cloudy,41
Route_4,T00690,25,High,Adjust service headway,Rain,58
Route_20,T00691,1,Low,No operational action required,Storm,37
Route_4,T00692,26,Severe,Deploy standby bus,Clear,30
Route_7,T00693,4,Low,No operational action required,Snow,28
Route_1,T00694,8,Medium,Monitor route conditions,Cloudy,8
Route_12,T00695,9,Medium,Monitor route conditions,Rain,0
Route_13,T00696,22,High,Adjust service headway,Rain,79
Route_10,T00697,14,Medium,Monitor route conditions,Rain,86
Route_15,T00698,16,High,Adjust service headway,Clear,71
Route_13,T00699,12,Medium,Monitor route conditions,Cloudy,46
Route_9,T00700,-1,Low,No operational action required,Fog,75
Route_9,T00701,23,High,Adjust service headway,Snow,9
Route_15,T00702,11,Medium,Monitor route conditions,Cloudy,15
Route_10,T00703,18,High,Adjust service headway,Cloudy,46
Route_10,T00704,19,High,Adjust service headway,Cloudy,42
Route_8,T00705,0,Low,No operational action required,Clear,23
Route_16,T00706,19,High,Adjust service headway,Snow,7
Route_17,T00707,5,Low,No operational action required,Clear,74
Route_5,T00708,20,High,Adjust service headway,Snow,25
Route_4,T00709,17,High,Adjust service headway,Snow,6
Route_18,T00710,12,Medium,Monitor route conditions,Clear,78
Route_19,T00711,21,High,Adjust service headway,Snow,14
Route_4,T00712,22,High,Adjust service headway,Cloudy,47
Route_7,T00713,5,Low,No operational action required,Clear,2
Route_10,T00714,11,Medium,Monitor route conditions,Snow,15
Route_18,T00715,29,Severe,Deploy standby bus,Rain,78
Route_19,T00716,-3,Low,No operational action required,Clear,88
Route_4,T00717,1,Low,No operational action required,Storm,96
Route_10,T00718,5,Low,No operational action required,Clear,13
Route_1,T00719,2,Low,No operational action required,Clear,87
Route_18,T00720,24,High,Adjust service headway,Clear,74
Route_5,T00721,22,High,Adjust service headway,Snow,2
Route_15,T00722,24,High,Adjust service headway,Clear,72
Route_17,T00723,11,Medium,Monitor route conditions,Storm,69
Route_3,T00724,2,Low,No operational action required,Fog,30
Route_12,T00725,23,High,Adjust service headway,Clear,79
Route_2,T00726,0,Low,No operational action required,Rain,74
Route_1,T00727,7,Medium,Monitor route conditions,Storm,16
Route_17,T00728,17,High,Adjust service headway,Fog,48
Route_16,T00729,26,Severe,Deploy standby bus,Snow,2
Route_5,T00730,14,Medium,Monitor route conditions,Clear,82
Route_15,T00731,-1,Low,No operational action required,Fog,87
Route_3,T00732,8,Medium,Monitor route conditions,Rain,54
Route_7,T00733,23,High,Adjust service headway,Storm,71
Route_11,T00734,26,Severe,Deploy standby bus,Storm,99
Route_10,T00735,17,High,Adjust service headway,Snow,39
Route_9,T00736,17,High,Adjust service headway,Snow,65
Route_14,T00737,11,Medium,Monitor route conditions,Snow,86
Route_13,T00738,14,Medium,Monitor route conditions,Fog,39
Route_2,T00739,25,High,Adjust service headway,Clear,29
Route_3,T00740,17,High,Adjust service headway,Cloudy,24
Route_7,T00741,13,Medium,Monitor route conditions,Storm,6
Route_18,T00742,14,Medium,Monitor route conditions,Cloudy,91
Route_3,T00743,8,Medium,Monitor route conditions,Storm,49
Route_10,T00744,7,Medium,Monitor route conditions,Snow,80
Route_7,T00745,16,High,Adjust service headway,Clear,95
Route_9,T00746,5,Low,No operational action required,Clear,0
Route_17,T00747,-3,Low,No operational action required,Storm,90
Route_11,T00748,-1,Low,No operational action required,Fog,43
Route_7,T00749,17,High,Adjust service headway,Snow,99
Route_14,T00750,19,High,Adjust service headway,Clear,48
Route_19,T00751,5,Low,No operational action required,Clear,6
Route_4,T00752,15,Medium,Monitor route conditions,Rain,2
Route_6,T00753,15,Medium,Monitor route conditions,Clear,93
Route_10,T00754,19,High,Adjust service headway,Rain,0
Route_7,T00755,23,High,Adjust service headway,Clear,50
Route_13,T00756,23,High,Adjust service headway,Clear,97
Route_14,T00757,8,Medium,Monitor route conditions,Fog,37
Route_4,T00758,23,High,Adjust service headway,Fog,42
Route_8,T00759,29,Severe,Deploy standby bus,Snow,54
Route_5,T00760,24,High,Adjust service headway,Clear,56
Route_1,T00761,27,Severe,Deploy standby bus,Snow,52
Route_4,T00762,28,Severe,Deploy standby bus,Snow,99
Route_3,T00763,16,High,Adjust service headway,Snow,32
Route_9,T00764,27,Severe,Deploy standby bus,Snow,79
Route_8,T00765,27,Severe,Deploy standby bus,Storm,61
Route_1,T00766,18,High,Adjust service headway,Storm,10
Route_6,T00767,5,Low,No operational action required,Clear,71
Route_9,T00768,5,Low,No operational action required,Storm,51
Route_7,T00769,11,Medium,Monitor route conditions,Clear,0
Route_4,T00770,9,Medium,Monitor route conditions,Fog,13
Route_13,T00771,18,High,Adjust service headway,Cloudy,93
Route_17,T00772,12,Medium,Monitor route conditions,Rain,84
Route_2,T00773,28,Severe,Deploy standby bus,Storm,20
Route_5,T00774,-2,Low,No operational action required,Storm,33
Route_12,T00775,22,High,Adjust service headway,Fog,89
Route_8,T00776,10,Medium,Monitor route conditions,Storm,13
Route_6,T00777,4,Low,No operational action required,Clear,39
Route_8,T00778,17,High,Adjust service headway,Clear,34
Route_18,T00779,24,High,Adjust service headway,Cloudy,41
Route_3,T00780,2,Low,No operational action required,Cloudy,81
Route_12,T00781,16,High,Adjust service headway,Cloudy,19
Route_3,T00782,27,Severe,Deploy standby bus,Clear,59
Route_6,T00783,29,Severe,Deploy standby bus,Snow,8
Route_2,T00784,3,Low,No operational action required,Snow,32
Route_12,T00785,4,Low,No operational action required,Cloudy,48
Route_2,T00786,5,Low,No operational action required,Cloudy,67
Route_6,T00787,-2,Low,No operational action required,Clear,3
Route_17,T00788,13,Medium,Monitor route conditions,Fog,47
Route_3,T00789,13,Medium,Monitor route conditions,Storm,15
Route_2,T00790,26,Severe,Deploy standby bus,Rain,46
Route_20,T00791,2,Low,No operational action required,Snow,25
Route_8,T00792,0,Low,No operational action required,Snow,69
Route_12,T00793,5,Low,No operational action required,Clear,36
Route_4,T00794,2,Low,No operational action required,Clear,21
Route_5,T00795,9,Medium,Monitor route conditions,Rain,6
Route_13,T00796,18,High,Adjust service headway,Rain,41
Route_15,T00797,24,High,Adjust service headway,Cloudy,29
Route_16,T00798,26,Severe,Deploy standby bus,Rain,73
Route_10,T00799,-2,Low,No operational action required,Storm,78
Route_16,T00800,4,Low,No operational action required,Storm,5
Route_12,T00801,5,Low,No operational action required,Snow,23
Route_17,T00802,-3,Low,No operational action required,Storm,65
Route_16,T00803,9,Medium,Monitor route conditions,Storm,39
Route_12,T00804,11,Medium,Monitor route conditions,Storm,14
Route_8,T00805,28,Severe,Deploy standby bus,Cloudy,52
Route_20,T00806,27,Severe,Deploy standby bus,Snow,84
Route_3,T00807,10,Medium,Monitor route conditions,Clear,81
Route_16,T00808,10,Medium,Monitor route conditions,Snow,4
Route_13,T00809,25,High,Adjust service headway,Snow,88
Route_19,T00810,15,Medium,Monitor route conditions,Snow,35
Route_8,T00811,23,High,Adjust service headway,Rain,73
Route_5,T00812,5,Low,No operational action required,Clear,45
Route_20,T00813,24,High,Adjust service headway,Rain,22
Route_8,T00814,20,High,Adjust service headway,Cloudy,87
Route_12,T00815,24,High,Adjust service headway,Cloudy,44
Route_1,T00816,14,Medium,Monitor route conditions,Fog,9
Route_20,T00817,21,High,Adjust service headway,Fog,53
Route_6,T00818,0,Low,No operational action required,Cloudy,69
Route_18,T00819,10,Medium,Monitor route conditions,Cloudy,76
Route_8,T00820,22,High,Adjust service headway,Rain,84
Route_7,T00821,4,Low,No operational action required,Cloudy,31
Route_1,T00822,20,High,Adjust service headway,Clear,42
Route_16,T00823,12,Medium,Monitor route conditions,Rain,14
Route_12,T00824,16,High,Adjust service headway,Cloudy,65
Route_6,T00825,11,Medium,Monitor route conditions,Rain,14
Route_20,T00826,3,Low,No operational action required,Rain,80
Route_2,T00827,13,Medium,Monitor route conditions,Storm,19
Route_14,T00828,18,High,Adjust service headway,Fog,49
Route_4,T00829,18,High,Adjust service headway,Rain,5
Route_1,T00830,8,Medium,Monitor route conditions,Snow,78
Route_18,T00831,14,Medium,Monitor route conditions,Rain,16
Route_13,T00832,11,Medium,Monitor route conditions,Snow,25
Route_2,T00833,12,Medium,Monitor route conditions,Storm,21
Route_9,T00834,1,Low,No operational action required,Cloudy,72
Route_2,T00835,-2,Low,No operational action required,Rain,63
Route_9,T00836,24,High,Adjust service headway,Storm,75
Route_1,T00837,23,High,Adjust service headway,Clear,85
Route_11,T00838,27,Severe,Deploy standby bus,Storm,57
Route_3,T00839,-3,Low,No operational action required,Fog,86
Route_20,T00840,25,High,Adjust service headway,Fog,36
Route_4,T00841,-3,Low,No operational action required,Cloudy,77
Route_18,T00842,4,Low,No operational action required,Snow,87
Route_6,T00843,12,Medium,Monitor route conditions,Cloudy,71
Route_3,T00844,24,High,Adjust service headway,Snow,89
Route_11,T00845,18,High,Adjust service headway,Snow,95
Route_15,T00846,14,Medium,Monitor route conditions,Snow,27
Route_5,T00847,18,High,Adjust service headway,Snow,95
Route_20,T00848,8,Medium,Monitor route conditions,Fog,85
Route_10,T00849,15,Medium,Monitor route conditions,Fog,48
Route_12,T00850,21,High,Adjust service headway,Rain,72
Route_15,T00851,1,Low,No operational action required,Fog,66
Route_17,T00852,6,Medium,Monitor route conditions,Cloudy,88
Route_10,T00853,3,Low,No operational action required,Fog,75
Route_6,T00854,11,Medium,Monitor route conditions,Cloudy,92
Route_18,T00855,20,High,Adjust service headway,Clear,66
Route_13,T00856,22,High,Adjust service headway,Fog,40
Route_3,T00857,22,High,Adjust service headway,Cloudy,45
Route_10,T00858,22,High,Adjust service headway,Snow,86
Route_14,T00859,6,Medium,Monitor route conditions,Storm,86
Route_6,T00860,13,Medium,Monitor route conditions,Snow,54
Route_3,T00861,10,Medium,Monitor route conditions,Rain,81
Route_16,T00862,-2,Low,No operational action required,Cloudy,10
Route_7,T00863,9,Medium,Monitor route conditions,Snow,99
Route_20,T00864,23,High,Adjust service headway,Fog,25
Route_14,T00865,5,Low,No operational action required,Fog,71
Route_9,T00866,3,Low,No operational action required,Clear,91
Route_15,T00867,6,Medium,Monitor route conditions,Storm,81
Route_3,T00868,5,Low,No operational action required,Cloudy,12
Route_2,T00869,18,High,Adjust service headway,Snow,35
Route_2,T00870,19,High,Adjust service headway,Storm,63
Route_3,T00871,3,Low,No operational action required,Clear,50
Route_18,T00872,5,Low,No operational action required,Rain,75
Route_14,T00873,23,High,Adjust service headway,Storm,21
Route_20,T00874,20,High,Adjust service headway,Clear,59
Route_18,T00875,25,High,Adjust service headway,Cloudy,1
Route_10,T00876,13,Medium,Monitor route conditions,Rain,55
Route_2,T00877,16,High,Adjust service headway,Fog,39
Route_1,T00878,3,Low,No operational action required,Clear,27
Route_4,T00879,3,Low,No operational action required,Fog,76
Route_14,T00880,24,High,Adjust service headway,Rain,96
Route_1,T00881,15,Medium,Monitor route conditions,Clear,2
Route_14,T00882,16,High,Adjust service headway,Clear,62
Route_16,T00883,3,Low,No operational action required,Rain,97
Route_14,T00884,2,Low,No operational action required,Cloudy,22
Route_20,T00885,21,High,Adjust service headway,Clear,54
Route_3,T00886,9,Medium,Monitor route conditions,Rain,31
Route_3,T00887,18,High,Adjust service headway,Storm,83
Route_9,T00888,13,Medium,Monitor route conditions,Fog,27
Route_6,T00889,18,High,Adjust service headway,Clear,7
Route_13,T00890,4,Low,No operational action required,Storm,2
Route_2,T00891,14,Medium,Monitor route conditions,Clear,93
Route_8,T00892,20,High,Adjust service headway,Cloudy,88
Route_2,T00893,-2,Low,No operational action required,Rain,52
Route_4,T00894,-2,Low,No operational action required,Clear,93
Route_15,T00895,23,High,Adjust service headway,Rain,28
Route_4,T00896,10,Medium,Monitor route conditions,Snow,93
Route_13,T00897,8,Medium,Monitor route conditions,Clear,97
Route_12,T00898,28,Severe,Deploy standby bus,Cloudy,88
Route_13,T00899,24,High,Adjust service headway,Cloudy,80
Route_14,T00900,24,High,Adjust service headway,Storm,58
Route_20,T00901,21,High,Adjust service headway,Cloudy,23
Route_18,T00902,0,Low,No operational action required,Rain,37
Route_6,T00903,22,High,Adjust service headway,Snow,27
Route_11,T00904,-1,Low,No operational action required,Cloudy,96
Route_2,T00905,-3,Low,No operational action required,Clear,61
Route_19,T00906,13,Medium,Monitor route conditions,Cloudy,99
Route_19,T00907,3,Low,No operational action required,Snow,50
Route_5,T00908,1,Low,No operational action required,Rain,6
Route_19,T00909,15,Medium,Monitor route conditions,Clear,22
Route_2,T00910,12,Medium,Monitor route conditions,Storm,45
Route_10,T00911,23,High,Adjust service headway,Storm,89
Route_2,T00912,21,High,Adjust service headway,Storm,77
Route_11,T00913,22,High,Adjust service headway,Clear,27
Route_18,T00914,10,Medium,Monitor route conditions,Storm,23
Route_15,T00915,10,Medium,Monitor route conditions,Cloudy,6
Route_9,T00916,10,Medium,Monitor route conditions,Clear,99
Route_19,T00917,21,High,Adjust service headway,Clear,78
Route_9,T00918,0,Low,No operational action required,Clear,48
Route_3,T00919,11,Medium,Monitor route conditions,Fog,2
Route_9,T00920,28,Severe,Deploy standby bus,Rain,1
Route_14,T00921,14,Medium,Monitor route conditions,Fog,6
Route_19,T00922,10,Medium,Monitor route conditions,Fog,79
Route_7,T00923,-3,Low,No operational action required,Fog,20
Route_16,T00924,16,High,Adjust service headway,Rain,8
Route_16,T00925,6,Medium,Monitor route conditions,Fog,11
Route_1,T00926,6,Medium,Monitor route conditions,Storm,92
Route_4,T00927,20,High,Adjust service headway,Clear,23
Route_4,T00928,24,High,Adjust service headway,Clear,32
Route_7,T00929,23,High,Adjust service headway,Cloudy,77
Route_8,T00930,-3,Low,No operational action required,Snow,42
Route_17,T00931,29,Severe,Deploy standby bus,Storm,81
Route_5,T00932,0,Low,No operational action required,Rain,4
Route_7,T00933,3,Low,No operational action required,Snow,78
Route_20,T00934,5,Low,No operational action required,Clear,70
Route_20,T00935,12,Medium,Monitor route conditions,Fog,88
Route_4,T00936,1,Low,No operational action required,Cloudy,13
Route_6,T00937,19,High,Adjust service headway,Cloudy,35
Route_7,T00938,21,High,Adjust service headway,Clear,34
Route_18,T00939,9,Medium,Monitor route conditions,Storm,49
Route_5,T00940,20,High,Adjust service headway,Snow,87
Route_20,T00941,7,Medium,Monitor route conditions,Cloudy,78
Route_3,T00942,13,Medium,Monitor route conditions,Clear,10
Route_7,T00943,9,Medium,Monitor route conditions,Storm,23
Route_14,T00944,23,High,Adjust service headway,Clear,74
Route_7,T00945,16,High,Adjust service headway,Clear,43
Route_5,T00946,29,Severe,Deploy standby bus,Storm,50
Route_5,T00947,28,Severe,Deploy standby bus,Storm,16
Route_2,T00948,4,Low,No operational action required,Storm,69
Route_6,T00949,25,High,Adjust service headway,Clear,84
Route_15,T00950,15,Medium,Monitor route conditions,Cloudy,7
Route_10,T00951,2,Low,No operational action required,Rain,78
Route_7,T00952,17,High,Adjust service headway,Rain,95
Route_5,T00953,18,High,Adjust service headway,Clear,73
Route_1,T00954,6,Medium,Monitor route conditions,Clear,27
Route_13,T00955,6,Medium,Monitor route conditions,Cloudy,78
Route_18,T00956,25,High,Adjust service headway,Storm,11
Route_13,T00957,12,Medium,Monitor route conditions,Clear,42
Route_18,T00958,-3,Low,No operational action required,Fog,81
Route_5,T00959,13,Medium,Monitor route conditions,Storm,36
Route_13,T00960,26,Severe,Deploy standby bus,Clear,87
Route_4,T00961,22,High,Adjust service headway,Fog,62
Route_17,T00962,15,Medium,Monitor route conditions,Snow,92
Route_3,T00963,17,High,Adjust service headway,Cloudy,62
Route_17,T00964,13,Medium,Monitor route conditions,Fog,9
Route_11,T00965,17,High,Adjust service headway,Clear,77
Route_20,T00966,15,Medium,Monitor route conditions,Rain,79
Route_4,T00967,3,Low,No operational action required,Clear,36
Route_2,T00968,13,Medium,Monitor route conditions,Rain,10
Route_20,T00969,-3,Low,No operational action required,Cloudy,89
Route_16,T00970,2,Low,No operational action required,Cloudy,18
Route_18,T00971,22,High,Adjust service headway,Storm,51
Route_8,T00972,-2,Low,No operational action required,Storm,17
Route_3,T00973,28,Severe,Deploy standby bus,Rain,93
Route_9,T00974,1,Low,No operational action required,Rain,31
Route_20,T00975,27,Severe,Deploy standby bus,Cloudy,22
Route_6,T00976,8,Medium,Monitor route conditions,Fog,11
Route_10,T00977,26,Severe,Deploy standby bus,Rain,57
